Model,Target,MAE,RMSE,R2,Loss
Emis,Total Alkalinity,56.3114128112793,69.85079193115234,-0.06564545631408691,33996.644234572785
Emis,Electrical Conductance,244.26446533203125,307.31622314453125,0.0171201229095459,33996.644234572785
Emis,Dissolved Reactive Phosphorus,40.66965866088867,51.64823913574219,0.09117388725280762,33996.644234572785
Atran,Total Alkalinity,53.8586311340332,68.79902648925781,-0.03379535675048828,32463.353709877938
Atran,Electrical Conductance,234.04298400878906,299.9743957519531,0.06352156400680542,32463.353709877938
Atran,Dissolved Reactive Phosphorus,40.2900276184082,51.69264602661133,0.08961021900177002,32463.353709877938
Swir16,Total Alkalinity,56.91547775268555,69.6365737915039,-0.05911898612976074,34035.21561369801
Swir16,Electrical Conductance,244.165771484375,307.583740234375,0.015408217906951904,34035.21561369801
Swir16,Dissolved Reactive Phosphorus,38.695167541503906,51.46489715576172,0.09761470556259155,34035.21561369801
Atmos_Opacity,Total Alkalinity,54.75972366333008,69.32300567626953,-0.04960227012634277,33346.329205752714
Atmos_Opacity,Electrical Conductance,238.63528442382812,304.37408447265625,0.035849571228027344,33346.329205752714
Atmos_Opacity,Dissolved Reactive Phosphorus,39.458744049072266,50.88937759399414,0.1176842451095581,33346.329205752714
Green,Total Alkalinity,54.71660614013672,69.90382385253906,-0.06726396083831787,33954.91454283454
Green,Electrical Conductance,242.30885314941406,307.2462463378906,0.017567753791809082,33954.91454283454
Green,Dissolved Reactive Phosphorus,41.00852966308594,50.77348327636719,0.12169843912124634,33954.91454283454
Drad,Total Alkalinity,55.201210021972656,69.18372344970703,-0.04538869857788086,33940.715783227846
Drad,Electrical Conductance,241.69540405273438,307.27374267578125,0.017391622066497803,33940.715783227846
Drad,Dissolved Reactive Phosphorus,39.30297088623047,51.17221450805664,0.10784941911697388,33940.715783227846
Red,Total Alkalinity,55.3410758972168,69.07093048095703,-0.04198324680328369,33618.57635553232
Red,Electrical Conductance,241.37245178222656,305.77227783203125,0.026971042156219482,33618.57635553232
Red,Dissolved Reactive Phosphorus,39.269317626953125,50.87477111816406,0.1181907057762146,33618.57635553232
Swir22,Total Alkalinity,56.453269958496094,69.46477508544922,-0.053899526596069336,33975.77530232821
Swir22,Electrical Conductance,244.7124481201172,307.36724853515625,0.016793906688690186,33975.77530232821
Swir22,Dissolved Reactive Phosphorus,40.23776626586914,51.257835388183594,0.10486149787902832,33975.77530232821
Emsd,Total Alkalinity,54.943206787109375,69.33123779296875,-0.04985165596008301,34106.27448999774
Emsd,Electrical Conductance,242.96685791015625,308.07476806640625,0.012262105941772461,34106.27448999774
Emsd,Dissolved Reactive Phosphorus,40.08555603027344,51.009246826171875,0.11352270841598511,34106.27448999774
Cdist,Total Alkalinity,53.43575668334961,67.94554901123047,-0.00830531120300293,32616.734276107596
Cdist,Electrical Conductance,238.5951690673828,301.2057189941406,0.055817604064941406,32616.734276107596
Cdist,Dissolved Reactive Phosphorus,39.163124084472656,50.08712387084961,0.14528387784957886,32616.734276107596
Nir08,Total Alkalinity,53.80026626586914,69.86927795410156,-0.06620931625366211,33838.18662409584
Nir08,Electrical Conductance,239.8011474609375,306.626220703125,0.021528899669647217,33838.18662409584
Nir08,Dissolved Reactive Phosphorus,40.03615951538086,51.11954879760742,0.10968494415283203,33838.18662409584
Blue,Total Alkalinity,53.628780364990234,69.48574829101562,-0.05453598499298096,33452.09700638562
Blue,Electrical Conductance,237.4567413330078,304.8612365722656,0.032760679721832275,33452.09700638562
Blue,Dissolved Reactive Phosphorus,40.614864349365234,50.86886978149414,0.11839514970779419,33452.09700638562
Trad,Total Alkalinity,56.186527252197266,69.4632797241211,-0.05385434627532959,34121.611190382006
Trad,Electrical Conductance,244.62864685058594,308.0935363769531,0.012141644954681396,34121.611190382006
Trad,Dissolved Reactive Phosphorus,38.42584991455078,51.16688919067383,0.10803496837615967,34121.611190382006
Lwir,Total Alkalinity,54.50902557373047,68.60441589355469,-0.027955174446105957,33849.44345120366
Lwir,Electrical Conductance,240.64337158203125,306.9317626953125,0.019577741622924805,33849.44345120366
Lwir,Dissolved Reactive Phosphorus,39.770503997802734,51.3289794921875,0.10237479209899902,33849.44345120366
Urad,Total Alkalinity,51.60610580444336,68.31578063964844,-0.019323348999023438,31990.284795999094
Urad,Electrical Conductance,228.6975555419922,297.82171630859375,0.07691401243209839,31990.284795999094
Urad,Dissolved Reactive Phosphorus,39.44300842285156,51.049346923828125,0.11212849617004395,31990.284795999094
Tcwi,Total Alkalinity,53.02227020263672,69.41325378417969,-0.052336812019348145,32922.6649454679
Tcwi,Electrical Conductance,237.251953125,302.1748046875,0.04973244667053223,32922.6649454679
Tcwi,Dissolved Reactive Phosphorus,42.114749908447266,51.38286590576172,0.10048913955688477,32922.6649454679
Evi,Total Alkalinity,55.61763381958008,68.90630340576172,-0.03702187538146973,33341.17314294191
Evi,Electrical Conductance,240.47926330566406,304.4090576171875,0.03562784194946289,33341.17314294191
Evi,Dissolved Reactive Phosphorus,38.54824447631836,51.093685150146484,0.11058551073074341,33341.17314294191
Osavi,Total Alkalinity,54.88257598876953,68.9951171875,-0.03969693183898926,33781.60524271022
Osavi,Electrical Conductance,241.47137451171875,306.5735168457031,0.02186506986618042,33781.60524271022
Osavi,Dissolved Reactive Phosphorus,40.18063735961914,50.96242904663086,0.11514943838119507,33781.60524271022
Gndvi,Total Alkalinity,54.64398193359375,69.58246612548828,-0.05747401714324951,33863.081116495254
Gndvi,Electrical Conductance,241.44049072265625,306.8115539550781,0.020345568656921387,33863.081116495254
Gndvi,Dissolved Reactive Phosphorus,39.45689010620117,51.1291389465332,0.10935068130493164,33863.081116495254
Gcvi,Total Alkalinity,55.30144119262695,69.2094497680664,-0.04616653919219971,32971.48662127034
Gcvi,Electrical Conductance,239.03515625,302.5145568847656,0.04759418964385986,32971.48662127034
Gcvi,Dissolved Reactive Phosphorus,39.74025344848633,51.082794189453125,0.11096465587615967,32971.48662127034
Msi,Total Alkalinity,55.1786994934082,69.68545532226562,-0.06060647964477539,33288.04987002713
Msi,Electrical Conductance,239.23098754882812,304.04278564453125,0.037947237491607666,33288.04987002713
Msi,Dissolved Reactive Phosphorus,40.06018829345703,50.65639114379883,0.12574470043182373,33288.04987002713
Bui,Total Alkalinity,56.263484954833984,69.52118682861328,-0.05561184883117676,33595.02119476153
Bui,Electrical Conductance,241.41554260253906,305.4889221191406,0.028773725032806396,33595.02119476153
Bui,Dissolved Reactive Phosphorus,39.89824295043945,51.26778793334961,0.10451376438140869,33595.02119476153
Tc Brightness,Total Alkalinity,56.258140563964844,69.48712921142578,-0.05457806587219238,33650.80797567247
Tc Brightness,Electrical Conductance,242.09231567382812,305.7513122558594,0.027104437351226807,33650.80797567247
Tc Brightness,Dissolved Reactive Phosphorus,38.844974517822266,51.38166046142578,0.10053133964538574,33650.80797567247
Tc Greenness,Total Alkalinity,54.22063064575195,68.90379333496094,-0.03694617748260498,33791.47469767179
Tc Greenness,Electrical Conductance,240.1296844482422,306.5893859863281,0.021763861179351807,33791.47469767179
Tc Greenness,Dissolved Reactive Phosphorus,39.107818603515625,51.28001022338867,0.10408681631088257,33791.47469767179
Nbr,Total Alkalinity,55.86970901489258,69.23097229003906,-0.04681730270385742,33097.01940057075
Nbr,Electrical Conductance,239.90121459960938,303.1153869628906,0.043807268142700195,33097.01940057075
Nbr,Dissolved Reactive Phosphorus,39.857261657714844,51.17805862426758,0.10764551162719727,33097.01940057075
Ndsi,Total Alkalinity,52.26417541503906,67.98789978027344,-0.00956273078918457,31871.866784866637
Ndsi,Electrical Conductance,229.17514038085938,297.3558044433594,0.07979989051818848,31871.866784866637
Ndsi,Dissolved Reactive Phosphorus,39.910560607910156,50.7225227355957,0.12346065044403076,31871.866784866637
Green/Red Ratio,Total Alkalinity,57.110992431640625,69.46406555175781,-0.053878188133239746,34153.833020174054
Green/Red Ratio,Electrical Conductance,246.65850830078125,308.24127197265625,0.011193990707397461,34153.833020174054
Green/Red Ratio,Dissolved Reactive Phosphorus,38.16859436035156,51.220664978027344,0.10615909099578857,34153.833020174054
Ndgi,Total Alkalinity,55.70307159423828,69.30471801757812,-0.04904830455780029,33667.10161900995
Ndgi,Electrical Conductance,243.739013671875,305.9248352050781,0.026000022888183594,33667.10161900995
Ndgi,Dissolved Reactive Phosphorus,38.61429214477539,51.070167541503906,0.11140406131744385,33667.10161900995
Ui (Urban Index),Total Alkalinity,55.329898834228516,70.63058471679688,-0.08957123756408691,34220.812245705245
Ui (Urban Index),Electrical Conductance,242.05496215820312,308.3127136230469,0.010735750198364258,34220.812245705245
Ui (Urban Index),Dissolved Reactive Phosphorus,40.45228576660156,51.156959533691406,0.10838133096694946,34220.812245705245
Nbr2,Total Alkalinity,55.97916030883789,69.94795227050781,-0.0686119794845581,34240.86851548372
Nbr2,Electrical Conductance,243.96002197265625,308.4877014160156,0.009612441062927246,34240.86851548372
Nbr2,Dissolved Reactive Phosphorus,38.32744216918945,51.62588119506836,0.09196054935455322,34240.86851548372
Red/Nir Ratio,Total Alkalinity,55.57752990722656,70.08052825927734,-0.07266664505004883,33933.4948999774
Red/Nir Ratio,Electrical Conductance,243.11328125,307.07073974609375,0.018689632415771484,33933.4948999774
Red/Nir Ratio,Dissolved Reactive Phosphorus,39.86941146850586,50.958351135253906,0.11529088020324707,33933.4948999774
Green/Nir Ratio,Total Alkalinity,53.57041931152344,69.33411407470703,-0.04993867874145508,33836.84357340642
Green/Nir Ratio,Electrical Conductance,239.5499267578125,306.7832336425781,0.020526409149169922,33836.84357340642
Green/Nir Ratio,Dissolved Reactive Phosphorus,40.05455017089844,50.8661003112793,0.11849123239517212,33836.84357340642
Def,Total Alkalinity,56.62791061401367,70.2198715209961,-0.07693648338317871,34248.832334990955
Def,Electrical Conductance,245.222900390625,308.5123596191406,0.009454131126403809,34248.832334990955
Def,Dissolved Reactive Phosphorus,39.32936477661133,51.33991622924805,0.10199218988418579,34248.832334990955
Ppt_Roll3,Total Alkalinity,52.21950912475586,69.63179016113281,-0.05897367000579834,32610.202058374773
Ppt_Roll3,Electrical Conductance,233.62132263183594,300.5040588378906,0.0602114200592041,32610.202058374773
Ppt_Roll3,Dissolved Reactive Phosphorus,40.222171783447266,51.76228332519531,0.08715587854385376,32610.202058374773
Ppt_Roll6,Total Alkalinity,52.590415954589844,69.57242584228516,-0.05716884136199951,34094.79429673372
Ppt_Roll6,Electrical Conductance,239.0574188232422,307.97369384765625,0.012910068035125732,34094.79429673372
Ppt_Roll6,Dissolved Reactive Phosphorus,40.188697814941406,50.95354080200195,0.11545783281326294,34094.79429673372
Ppt_Roll12,Total Alkalinity,56.84248733520508,70.56283569335938,-0.08748197555541992,35086.628609572785
Ppt_Roll12,Electrical Conductance,246.69374084472656,312.3649597167969,-0.015439629554748535,35086.628609572785
Ppt_Roll12,Dissolved Reactive Phosphorus,38.85221862792969,52.04716110229492,0.07708042860031128,35086.628609572785
Tmin,Total Alkalinity,58.30690002441406,69.33446502685547,-0.0499492883682251,34184.02018817812
Tmin,Electrical Conductance,247.63528442382812,308.1262512207031,0.011931896209716797,34184.02018817812
Tmin,Dissolved Reactive Phosphorus,38.69581604003906,52.943458557128906,0.04501974582672119,34184.02018817812
Et_Deficit,Total Alkalinity,56.51723861694336,69.72711181640625,-0.061874985694885254,33850.28837731691
Et_Deficit,Electrical Conductance,243.41586303710938,306.6669616699219,0.021268784999847412,33850.28837731691
Et_Deficit,Dissolved Reactive Phosphorus,39.02785110473633,51.42345428466797,0.09906744956970215,33850.28837731691
Pet_Ppt_Ratio,Total Alkalinity,55.02865982055664,68.75873565673828,-0.0325850248336792,33155.169031843354
Pet_Ppt_Ratio,Electrical Conductance,238.96490478515625,303.53936767578125,0.04113048315048218,33155.169031843354
Pet_Ppt_Ratio,Dissolved Reactive Phosphorus,38.931663513183594,51.00587463378906,0.11364001035690308,33155.169031843354
Runoff_Coefficient,Total Alkalinity,54.206321716308594,69.13385772705078,-0.04388248920440674,33549.09961290687
Runoff_Coefficient,Electrical Conductance,239.48135375976562,305.3752136230469,0.029496371746063232,33549.09961290687
Runoff_Coefficient,Dissolved Reactive Phosphorus,39.01920700073242,51.12505340576172,0.10949301719665527,33549.09961290687
Temp_Range,Total Alkalinity,55.33556365966797,69.70704650878906,-0.0612637996673584,33539.8744525599
Temp_Range,Electrical Conductance,240.08465576171875,305.1302185058594,0.031053245067596436,33539.8744525599
Temp_Range,Dissolved Reactive Phosphorus,38.66694641113281,51.53739929199219,0.095070481300354,33539.8744525599
Aet_Pet_Ration,Total Alkalinity,53.81315612792969,70.05156707763672,-0.07178008556365967,33797.73299050633
Aet_Pet_Ration,Electrical Conductance,239.3153533935547,306.3974914550781,0.02298790216445923,33797.73299050633
Aet_Pet_Ration,Dissolved Reactive Phosphorus,41.14042663574219,51.05430603027344,0.11195582151412964,33797.73299050633
Temp_Mean,Total Alkalinity,56.40314483642578,69.61997985839844,-0.05861461162567139,34955.40398960217
Temp_Mean,Electrical Conductance,250.3049774169922,311.9777526855469,-0.012923598289489746,34955.40398960217
Temp_Mean,Dissolved Reactive Phosphorus,39.54596710205078,51.857051849365234,0.08381032943725586,34955.40398960217
